"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\repos\MMO-Game\MMO-Game\sketch\Game.ts", "TypeScript", -6, 1, 2, -3
"c:\repos\MMO-Game\MMO-Game\sketch\Mining.ts", "TypeScript", 37, 3, 3, 43
"c:\repos\MMO-Game\MMO-Game\sketch\sketch.ts", "TypeScript", 7, 0, 0, 7
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tile.ts", "TypeScript", 3, 0, 1, 4
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Air.ts", "TypeScript", 3, 0, 1, 4
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Bedrock.ts", "TypeScript", 3, 0, 0, 3
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Grass.ts", "TypeScript", 3, 0, 1, 4
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Stone.ts", "TypeScript", 3, 0, 1, 4
"Total", "-", 53, 4, 9, 66
