"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\repos\MMO-Game\MMO-Game\README.md", "Markdown", 0, 0, 0, 0, -77, 0, 0, -43, -120
"c:\repos\MMO-Game\MMO-Game\build\build.js", "JavaScript", 0, 0, 0, 0, 0, -673, -1, 0, -674
"c:\repos\MMO-Game\MMO-Game\global.d.ts", "TypeScript", 0, 0, 0, -4, 0, 0, -1, -2, -7
"c:\repos\MMO-Game\MMO-Game\index.html", "HTML", 0, 0, -36, 0, 0, 0, 0, -6, -42
"c:\repos\MMO-Game\MMO-Game\package-lock.json", "JSON", 0, -5084, 0, 0, 0, 0, 0, -1, -5085
"c:\repos\MMO-Game\MMO-Game\package.json", "JSON", 0, -18, 0, 0, 0, 0, 0, -1, -19
"c:\repos\MMO-Game\MMO-Game\tsconfig.json", "JSON with Comments", -13, 0, 0, 0, 0, 0, 0, -1, -14
"Total", "-", -13, -5102, -36, -4, -77, -673, -2, -54, -5961
